,max_price,min_price,daily_price_spread,simple_daily_profit,optimised_daily_profit
2018-01-22,54.129999999999995,40.32,13.809999999999995,1173.8499999999997,4602.704019999999
2018-01-23,58.5,31.299999999999997,27.200000000000003,2312.0000000000005,2136.8241258134485
2018-01-24,70.345,30.825,39.519999999999996,3359.1999999999994,1049.0031062906714
2018-01-25,83.38499999999999,42.065,41.31999999999999,3512.199999999999,6268.995029613883
2018-01-26,63.485,39.09,24.394999999999996,2073.5749999999994,2781.853691973969
2018-01-27,0.0,0.0,0.0,0.0,1827.51779175705
2018-01-28,0.0,0.0,0.0,0.0,2590.121401301518
2018-01-29,59.08,4.15,54.93,4669.05,2626.8156182212583
2018-01-30,73.525,40.31,33.215,2823.275,5660.347355536629
2018-01-31,70.28999999999999,35.165000000000006,35.124999999999986,2985.6249999999986,2751.7503904555315
2018-02-01,0.0,0.0,0.0,0.0,1686.3645336225595
2018-02-02,82.87,37.515,45.355000000000004,3855.1749999999997,3799.855314533622
2018-02-03,0.0,0.0,0.0,0.0,1235.8661127982648
2018-02-04,79.84,38.94,40.900000000000006,3476.5000000000005,7473.427570498915
2018-02-05,62.92,40.615,22.305,1895.925,1901.7079999999992
2018-02-06,0.0,0.0,0.0,0.0,-3413.8731217093277
2018-02-07,71.75,40.89,30.86,2623.1,2143.405518438178
2018-02-08,0.0,0.0,0.0,0.0,5431.857362255965
2018-02-09,68.30000000000001,39.325,28.97500000000001,2462.875000000001,2698.8139999999994
2018-02-10,79.005,39.655,39.349999999999994,3344.7499999999995,3035.924134490239
2018-02-11,61.135000000000005,39.769999999999996,21.36500000000001,1816.0250000000008,-2774.8731019522784
2018-02-12,0.0,0.0,0.0,0.0,7063.378754946571
2018-02-13,73.17500000000001,34.17,39.00500000000001,3315.4250000000006,3071.3934446854664
2018-02-14,64.83500000000001,36.8,28.03500000000001,2382.975000000001,2028.21125813449
2018-02-15,56.995,40.565,16.43,1396.55,-1170.5
2018-02-16,0.0,0.0,0.0,0.0,396.8890533625006
2018-02-17,76.25999999999999,42.45,33.80999999999999,2873.8499999999985,9211.422780911062
2018-02-18,0.0,0.0,0.0,0.0,475.85455097613885
2018-02-19,65.375,40.03,25.345,2154.325,3872.8003904555317
2018-02-20,67.985,40.78,27.205,2312.4249999999997,-303.72545336225676
2018-02-21,0.0,0.0,0.0,0.0,2857.9742761233006
2018-02-22,67.13,42.760000000000005,24.36999999999999,2071.4499999999994,-414.63599999999997
2018-02-23,0.0,0.0,0.0,0.0,5922.21473318872
2018-02-24,87.55000000000001,43.22,44.33000000000001,3768.0500000000006,5556.252832971801
2018-02-25,0.0,0.0,0.0,0.0,-1450.9147245119302
2018-02-26,63.26,43.65,19.61,1666.85,511.74069856625965
2018-02-27,109.19,50.855000000000004,58.334999999999994,4958.474999999999,1166.5436876355752
2018-02-28,0.0,0.0,0.0,0.0,16484.950968945766
2018-03-01,318.9,49.28,269.62,22917.7,29417.009999999995
2018-03-02,0.0,0.0,0.0,0.0,16923.086860802818
2018-03-03,0.0,0.0,0.0,0.0,6982.048141505422
2018-03-04,0.0,0.0,0.0,0.0,507.70238792190867
2018-03-05,0.0,0.0,0.0,0.0,2383.0339999999987
2018-03-06,91.33,40.495000000000005,50.834999999999994,4320.974999999999,3171.9047635574825
2018-03-07,0.0,0.0,0.0,0.0,4874.338746203904
2018-03-08,83.525,43.65,39.87500000000001,3389.375000000001,8974.897535791755
2018-03-09,76.9,44.465,32.435,2756.975,2683.5914405162684
2018-03-10,69.65,41.515,28.135000000000005,2391.4750000000004,1919.1821171366591
2018-03-11,67.755,43.334999999999994,24.42,2075.7,1577.2830759219073
2018-03-12,76.965,42.445,34.52,2934.2000000000003,2489.6469978308023
2018-03-13,100.84,49.185,51.655,4390.675,5169.357097613883
2018-03-14,0.0,0.0,0.0,0.0,2035.9479999999999
2018-03-15,79.595,37.480000000000004,42.114999999999995,3579.774999999999,3732.251800694142
2018-03-16,80.02000000000001,49.040000000000006,30.980000000000004,2633.3,2293.6995878524936
2018-03-17,68.33,37.6,30.729999999999997,2612.0499999999997,-933.4556789587857
2018-03-18,71.44,42.015,29.424999999999997,2501.1249999999995,1968.9136659436003
2018-03-19,0.0,0.0,0.0,0.0,4293.0968633405655
2018-03-20,64.255,44.015,20.239999999999995,1720.3999999999996,1162.7407997327327
2018-03-21,0.0,0.0,0.0,0.0,5259.653416885861
2018-03-22,0.0,0.0,0.0,0.0,4712.724243999999
2018-03-23,84.08,35.08,49.0,4165.0,4949.329218932755
2018-03-24,0.0,0.0,0.0,0.0,3076.362906724511
2018-03-25,73.03,21.725,51.305,4360.925,6566.725908893708
2018-03-26,73.79,39.295,34.495000000000005,2932.0750000000003,2906.8099999999995
2018-03-27,63.08,39.465,23.614999999999995,2007.2749999999996,-1576.4590753839489
2018-03-28,71.16,41.295,29.864999999999995,2538.5249999999996,3471.295774403471
2018-03-29,82.64500000000001,43.084999999999994,39.56000000000002,3362.6000000000013,2620.9950455531452
2018-03-30,0.0,0.0,0.0,0.0,3065.4238275182215
2018-03-31,78.37,41.735,36.635000000000005,3113.9750000000004,6881.797618221259
2018-04-01,64.545,43.11,21.435000000000002,1821.975,1266.7989501084594
2018-04-02,0.0,0.0,0.0,0.0,-3807.751419859684
2018-04-03,0.0,0.0,0.0,0.0,0.0
2018-04-04,0.0,0.0,0.0,0.0,1204.4933058568326
2018-04-05,0.0,0.0,0.0,0.0,6947.268303687635
2018-04-06,0.0,0.0,0.0,0.0,-2246.6799739696316
2018-04-07,61.614999999999995,40.325,21.289999999999992,1809.6499999999992,5684.296
2018-04-08,0.0,0.0,0.0,0.0,5.129236442515776
2018-04-09,85.765,40.435,45.33,3853.0499999999997,3517.7478828633402
2018-04-10,70.35,41.25,29.099999999999994,2473.4999999999995,1386.1767895878527
2018-04-11,76.53,47.870000000000005,28.659999999999997,2436.0999999999995,4888.371999999999
2018-04-12,0.0,0.0,0.0,0.0,-3339.142403470716
2018-04-13,0.0,0.0,0.0,0.0,9434.694103999998
2018-04-14,53.004999999999995,39.61,13.394999999999996,1138.5749999999996,-4299.4793926247285
2018-04-15,0.0,0.0,0.0,0.0,2468.227999999999
2018-04-16,0.0,0.0,0.0,0.0,4855.022906724511
